season,team,playoffs,total_points,field_goals_percent,three_points_percent,two_points_percent,free_throw_percent,total_rebound,assist,steal,block,turnover,personal_foul
2020,DEN,1,8124,0.473,0.359,0.533,0.777,3222,1952,586,337,1005,1485
2020,DET,0,7078,0.459,0.367,0.515,0.743,2753,1589,490,299,1008,1299
2020,GSW,0,6912,0.438,0.334,0.495,0.803,2785,1663,534,299,969,1304
2020,HOU,1,8482,0.451,0.345,0.557,0.791,3188,1557,627,371,1057,1566
2020,IND,1,7989,0.476,0.363,0.529,0.787,3125,1888,543,376,967,1445
2020,LAC,1,8377,0.466,0.371,0.522,0.791,3431,1708,511,338,1051,1594
2020,LAL,1,8054,0.48,0.349,0.552,0.729,3247,1803,612,468,1077,1471
2020,MEM,0,8222,0.468,0.347,0.532,0.763,3397,1965,576,398,1113,1546
2020,MIA,1,8179,0.468,0.379,0.532,0.783,3239,1892,547,332,1088,1501
2020,MIL,1,8663,0.476,0.355,0.567,0.742,3774,1889,526,429,1102,1431
2020,MIN,0,7248,0.441,0.336,0.521,0.753,2868,1525,555,362,981,1370
2020,NOP,0,8341,0.465,0.37,0.528,0.729,3348,1932,539,358,1181,1524
2020,NYK,0,6983,0.447,0.337,0.499,0.694,3069,1456,504,313,946,1464
2020,OKC,1,7950,0.468,0.355,0.529,0.796,3088,1562,550,353,986,1390
2020,ORL,1,7831,0.444,0.343,0.502,0.774,3249,1747,599,396,937,1336
2020,PHI,1,8084,0.468,0.368,0.524,0.755,3317,1884,586,389,1037,1529
2020,PHO,0,8294,0.468,0.358,0.529,0.834,3177,1987,559,290,1077,1609
2020,POR,1,8508,0.463,0.377,0.514,0.804,3353,1525,465,451,946,1606
2020,SAC,0,7927,0.462,0.364,0.527,0.77,3067,1713,556,293,1043,1595
2020,SAS,0,8098,0.472,0.376,0.516,0.81,3170,1751,518,390,895,1377
2020,TOR,1,8118,0.458,0.374,0.519,0.796,3268,1816,636,358,1067,1559
2020,UTA,1,8013,0.471,0.38,0.535,0.779,3233,1615,438,292,1089,1468
2020,WAS,0,8238,0.457,0.368,0.506,0.788,3027,1801,574,309,1020,1634
2019,ATL,0,9294,0.451,0.352,0.518,0.752,3780,2118,675,419,1397,1932
2019,BOS,1,9216,0.465,0.365,0.527,0.802,3653,2155,706,435,1052,1670
2019,BRK,1,9204,0.449,0.353,0.513,0.745,3819,1954,539,339,1236,1763
2019,CHI,0,8605,0.453,0.351,0.496,0.783,3517,1796,603,351,1159,1663
2019,CHO,0,9081,0.448,0.351,0.507,0.797,3592,1905,591,405,1001,1550
2019,CLE,0,8567,0.444,0.355,0.488,0.792,3498,1698,534,195,1106,1642
2019,DAL,0,8927,0.447,0.34,0.524,0.742,3716,1918,533,351,1167,1650
2019,DEN,1,9075,0.466,0.351,0.527,0.755,3804,2245,634,363,1102,1644
2019,DET,1,8778,0.44,0.348,0.5,0.747,3688,1845,569,331,1135,1811
2019,GSW,1,9650,0.491,0.385,0.557,0.801,3787,2413,625,525,1169,1757
2019,HOU,1,9341,0.449,0.356,0.551,0.791,3449,1741,700,405,1094,1803
2019,IND,1,8857,0.475,0.374,0.517,0.752,3528,2128,713,404,1122,1594
2019,LAC,1,9442,0.471,0.388,0.507,0.792,3732,1970,561,385,1193,1913
2019,LAL,0,9165,0.47,0.333,0.541,0.699,3820,2096,618,440,1284,1701
2019,MEM,0,8490,0.45,0.342,0.505,0.772,3426,1963,684,448,1147,1801
2019,MIA,0,8668,0.45,0.349,0.509,0.695,3800,1991,627,448,1208,1712
2019,MIL,1,9686,0.476,0.353,0.565,0.773,4078,2136,615,486,1137,1608
2019,MIN,0,9223,0.456,0.351,0.504,0.787,3673,2018,683,411,1074,1664
2019,NOP,0,9466,0.473,0.344,0.536,0.761,3878,2216,610,441,1215,1732
2019,NYK,0,8575,0.433,0.34,0.479,0.759,3668,1646,557,422,1151,1713
2019,OKC,1,9387,0.454,0.348,0.51,0.713,3942,1917,766,425,1145,1839
2019,ORL,1,8800,0.454,0.356,0.509,0.782,3724,2095,543,445,1082,1526
2019,PHI,1,9445,0.471,0.359,0.529,0.771,3917,2207,606,432,1223,1745
2019,PHO,0,8815,0.459,0.329,0.525,0.779,3311,1957,735,418,1279,1932
2019,POR,1,9402,0.467,0.359,0.523,0.814,3935,1887,546,413,1135,1669
2019,SAC,0,9363,0.464,0.378,0.504,0.726,3725,2083,679,363,1095,1751
2019,SAS,1,9156,0.478,0.392,0.513,0.819,3667,2013,501,386,992,1487
2019,TOR,1,9384,0.474,0.366,0.539,0.804,3706,2085,680,437,1150,1724
2019,UTA,1,9161,0.468,0.356,0.541,0.736,3801,2133,663,483,1240,1728
2019,WAS,0,9350,0.468,0.341,0.543,0.768,3473,2154,683,379,1154,1701
2018,ATL,0,8475,0.446,0.36,0.495,0.785,3436,1946,638,348,1276,1606
2018,BOS,1,8529,0.45,0.377,0.491,0.771,3645,1842,604,373,1149,1618
2018,BRK,0,8741,0.441,0.356,0.5,0.772,3644,1941,512,390,1245,1688
2018,CHI,0,8440,0.435,0.355,0.478,0.759,3663,1923,626,289,1147,1571
2018,CHO,0,8874,0.45,0.369,0.487,0.747,3728,1770,559,373,1041,1409
2018,CLE,1,9091,0.476,0.372,0.54,0.779,3455,1916,582,312,1126,1524
2018,DAL,0,8390,0.444,0.36,0.496,0.763,3383,1858,578,310,1008,1578
2018,DEN,0,9020,0.47,0.371,0.525,0.767,3650,2059,627,404,1227,1533
2018,DET,0,8509,0.45,0.373,0.488,0.745,3586,1868,628,317,1103,1508
2018,GSW,1,9304,0.503,0.391,0.56,0.815,3568,2402,656,612,1267,1607
2018,HOU,1,9213,0.46,0.362,0.558,0.781,3564,1767,699,392,1135,1597
2018,IND,1,8656,0.472,0.369,0.513,0.779,3472,1819,721,340,1089,1544
2018,LAC,0,8937,0.471,0.354,0.525,0.743,3598,1832,628,373,1204,1638
2018,LAL,0,8862,0.461,0.345,0.517,0.714,3803,1949,633,388,1295,1736
2018,MEM,0,8145,0.444,0.352,0.486,0.786,3323,1767,613,396,1227,1900
2018,MIA,1,8480,0.455,0.36,0.508,0.755,3564,1862,620,437,1179,1648
2018,MIL,1,8731,0.478,0.355,0.531,0.783,3267,1905,722,443,1134,1752
2018,MIN,1,8980,0.476,0.357,0.519,0.804,3441,1861,689,345,1021,1495
2018,NOP,1,9161,0.483,0.362,0.54,0.772,3636,2195,657,485,1223,1570
2018,NYK,0,8566,0.464,0.352,0.504,0.787,3611,1912,552,421,1207,1682
2018,OKC,1,8844,0.453,0.354,0.505,0.716,3695,1750,743,412,1147,1653
2018,ORL,0,8479,0.452,0.351,0.504,0.757,3414,1921,622,400,1192,1579
2018,PHI,1,9004,0.472,0.369,0.526,0.752,3889,2221,682,420,1353,1811
2018,PHO,0,8522,0.442,0.334,0.492,0.741,3618,1743,569,370,1289,1807
2018,POR,1,8661,0.452,0.366,0.493,0.8,3728,1599,573,423,1109,1599
